oktazon;gondviseloazon;gondviseloneve;gondviselotelefonszama;gondviseloemail;torvenyeskepviselo;haziorvosneve;haziorvostelefon;covidoltas
48714843742;11111;Aladár Zalán;63012345678;tesztelek1@gmail.com;Aladár Zalán;Kiss Tamás;63022345678;0
13807278760;11112;Aladár József;63012345679;tesztelek2@gmail.com;Káposztás Elek;Kiss Tamás;63022345678;1
22129748753;11113;Aladár Gábor;63012345680;tesztelek3@gmail.com;Káposztás Zalán;Nagy Tamás;63042345680;1
80948305603;11114;Aladár Mihály;63012345681;tesztelek4@gmail.com;Káposztás Julika;Közepes Tamás;63052345681;0
86860031834;11115;Aladár Ferenc;63012345682;tesztelek5@gmail.com;Káposztás Erzsébet;Közepes Tamás;63052345681;1
19685497326;11116;Aladár Mátyás;63012345683;tesztelek6@gmail.com;Aladár Mátyás;Nagy Tamás;63042345680;0
14248515767;11117;Aladár Milán;63012345684;tesztelek7@gmail.com;Aladár Milán;Nagy Tamás;63042345680;1
61364931027;11118;Aladár Zalán;63012345685;tesztelek1@gmail.com;Aladár Zalán;Kiss Tamás;63055202824;0
45609794168;11119;Aladár József;63012345686;tesztelek2@gmail.com;Káposztás Elek;Kiss Tamás;63059131396;1
53303862443;11120;Aladár Gábor;63012345687;tesztelek3@gmail.com;Káposztás Zalán;Nagy Tamás;63063059968;1
44195037082;11121;Aladár Mihály;63012345688;tesztelek4@gmail.com;Káposztás Julika;Közepes Tamás;63066988540;0
35897787428;11122;Aladár Ferenc;63012345689;tesztelek5@gmail.com;Káposztás Erzsébet;Közepes Tamás;63070917111;1
64638311529;11123;Aladár Mátyás;63012345690;tesztelek6@gmail.com;Aladár Mátyás;Nagy Tamás;63074845683;0
53219114253;11124;Aladár Milán;63012345691;tesztelek7@gmail.com;Aladár Milán;Nagy Tamás;63078774255;1
98756108530;11125;Aladár Gábor;63012345692;tesztelek1@gmail.com;Aladár Zalán;Kiss Tamás;63082702827;0
52062834298;11126;Aladár Mihály;63012345693;tesztelek2@gmail.com;Káposztás Elek;Kiss Tamás;63086631399;1
85584060901;11127;Aladár Ferenc;63012345694;tesztelek3@gmail.com;Káposztás Zalán;Nagy Tamás;63090559971;1
55712890716;11128;Aladár Mátyás;63012345695;tesztelek4@gmail.com;Káposztás Julika;Közepes Tamás;63094488542;0
80888131658;11129;Aladár Milán;63012345696;tesztelek5@gmail.com;Káposztás Erzsébet;Közepes Tamás;63098417114;1
72652452875;11130;Aladár Milán;63012345697;tesztelek5@gmail.com;Aladár Mátyás;Nagy Tamás;63102345686;0
