szocazon;oktazon;gyermekvedelmikedvezmeny;gyermekvedelmikedvezmeny_kezdete;gyermekvedelmikedvezmeny_vege;hatranyoshelyzetu;hhkezdete;hhvege;halmozottanhatranyoshelyzetu;hhh_kezdete;hhh_vege
1111111;48714843742;0;;;0;;;0;;
1111112;13807278760;1;2022.02.01;2023.01.01;1;2022.02.01;2023.01.01;1;2022.02.01;2023.01.01
1111113;22129748753;1;2022.02.01;2023.02.01;1;2022.02.01;2023.02.01;1;2022.02.01;2023.02.01
1111114;80948305603;0;;;;;;0;;
1111115;86860031834;1;2022.01.01;2023.01.01;1;2022.01.01;2023.01.01;1;2022.01.01;2023.01.01
1111116;19685497326;0;;;0;;;0;;
1111117;14248515767;1;2022.02.01;2023.02.01;1;2022.02.01;2023.02.01;1;2022.02.01;2023.02.01
1111118;61364931027;0;;;0;;;0;;
1111119;45609794168;1;2022.02.01;2023.01.01;1;2022.02.01;2023.01.01;1;2022.02.01;2023.01.01
1111120;53303862443;1;2022.02.01;2023.02.01;1;2022.02.01;2023.02.01;1;2022.02.01;2023.02.01
1111121;44195037082;0;;;;;;0;;
1111122;35897787428;1;2022.01.01;2023.01.01;1;2022.01.01;2023.01.01;1;2022.01.01;2023.01.01
1111123;64638311529;0;;;0;;;0;;
1111124;53219114253;1;2022.02.01;2023.02.01;1;2022.02.01;2023.02.01;1;2022.02.01;2023.02.01
1111125;98756108530;0;;;0;;;0;;
1111126;52062834298;1;2022.02.01;2023.01.01;1;2022.02.01;2023.01.01;1;2022.02.01;2023.01.01
1111127;85584060901;1;2022.02.01;2023.02.01;1;2022.02.01;2023.02.01;1;2022.02.01;2023.02.01
1111128;55712890716;0;;;;;;0;;
1111129;80888131658;1;2022.01.01;2023.01.01;1;2022.01.01;2023.01.01;1;2022.01.01;2023.01.01
1111130;72652452875;0;;;0;;;0;;
